Class,User,X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11
1,0,54.26387995,71.46677614,-64.80770878,76.89563478,42.4624999,-72.78054519,36.62122916,81.68055693,-52.91927237,85.23226389,67.7492195,-73.68413004,59.1885757,10.67893641,-71.29778131,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,56.52755845,72.26660863,-61.93525242,39.13597811,82.53852991,-49.5965094,79.22374278,43.25409085,-69.98248905,87.45087295,68.4008083,-70.70399093,61.58745155,11.77991903,-68.82741776,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,55.84992755,72.46906399,-62.5627882,37.98880398,82.63134669,-50.60625925,78.45152642,43.56740255,-70.65848926,86.83538757,68.90792498,-71.13834414,61.68642719,11.79343989,-68.88931646,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,55.32964736,71.70727473,-63.68895606,36.56186258,81.86874878,-52.7527843,86.32062994,68.21464501,-72.22846087,61.59615713,11.25064818,-68.95642523,77.38722541,42.71783348,-72.0151463,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,55.14240057,71.43560746,-64.17730321,36.17581773,81.55687358,-53.47574661,76.98614348,42.42684852,-72.57474306,86.36874806,67.90126037,-72.44464996,61.2754022,10.84110946,-69.2799064,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,55.58118377,71.64120117,-63.70313677,34.85056454,81.35204141,-54.7474435,77.07851207,42.54824528,-72.4854888,86.85133168,68.01183613,-71.90993773,61.85684696,10.85197338,-68.85375173,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,34.52282424,81.4573175,-54.90099483,55.82768671,71.87878783,-63.194368,86.90265347,68.3126795,-71.64207419,61.82952652,11.01497809,-68.95879629,76.95450742,42.73463921,-72.50061893,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,61.62154983,10.96818655,-69.13403717,32.67817299,81.17287449,-56.99436247,86.73236754,68.30808914,-71.83400347,76.82919217,42.73822829,-72.63014634,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,61.40135612,11.01496121,-69.37941817,32.52764253,81.12766037,-57.09247335,86.42106601,68.40564876,-72.12216066,77.14654606,42.82796207,-72.26147891,55.6097082,72.07419633,-63.18846582,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,61.43661297,10.99283823,-69.35463235,32.514926,81.0824338,-57.07470206,87.07433033,68.47881334,-71.49301866,76.98062791,42.8270332,-72.45007711,55.7694168,72.12027509,-62.95033903,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,61.43915462,10.92362189,-69.37618059,32.44173295,80.99642231,-57.18789252,86.8174515,68.51549424,-71.78504305,76.76169785,42.77588009,-72.720539,55.68935718,72.04108171,-63.07085793,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,61.35708572,10.7016413,-69.44986966,32.31625173,80.79083321,-57.42672125,86.64122359,68.41131334,-72.09800727,76.83391322,42.71891765,-72.71189916,55.7042694,71.91334909,-63.10896717,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,31.37529509,80.52504713,-58.3740651,62.8151471,10.78376607,-67.75723557,86.82848192,68.40282553,-71.88326605,76.92545917,42.589469,-72.66774912,57.46876021,72.13053067,-61.03312557,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.14770831,42.54745955,-72.49049175,62.669492,10.68416266,-67.95382079,31.27493854,80.4344994,-58.52165052,86.74350573,68.37975576,-72.00385516,57.39079913,72.03475338,-61.15194507,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.21433942,42.3428919,-72.5347242,62.18939767,10.35060175,-68.53425314,31.05555167,80.13429172,-58.96124744,86.37033133,68.09134051,-72.5957255,57.18741303,71.85840425,-61.52656203,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.25237435,42.35324295,-72.56787111,62.21917455,10.3190565,-68.5115262,86.30775882,68.09354129,-72.67013861,31.20182276,80.07527369,-58.85248911,57.13063508,71.79063793,-61.5996263,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.33187225,42.24737178,-72.47727484,62.07210187,10.16844141,-68.58040056,86.20723446,67.94620659,-72.84271746,32.23643055,80.11846086,-57.99134609,57.02370035,71.76257705,-61.74926558,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.10756816,42.10970589,-72.72970095,61.96089137,10.22582952,-68.61039173,86.42499319,67.88732377,-72.64787606,31.3402368,79.95546858,-58.87263926,57.03591996,71.71986705,-61.79565161,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.24957177,42.29079698,-72.53922621,86.19648891,67.8893844,-72.8318863,31.11579549,80.15236001,-58.89839983,57.06037162,71.78840823,-61.70787921,61.57972877,10.23917244,-68.92880362,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.24422959,42.44459362,-72.48890276,86.06311351,67.98234427,-72.8436406,57.35782399,71.94711891,-61.32679532,31.17272771,80.211677,-58.68142091,61.50473057,10.41137261,-69.00787316,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.17423682,42.56935907,-72.50929112,85.81461969,67.98215219,-73.03728307,57.3536505,71.95057614,-61.28432336,59.87245163,10.21780931,-70.44760018,32.53662836,80.56294735,-56.86324991,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,77.78331609,42.84699649,-71.75391287,85.53591817,68.1477339,-73.05948829,57.53973246,72.06521233,-60.98623871,60.24027511,10.68878867,-70.07930881,32.86872091,80.84016634,-56.27633666,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,78.91100722,43.71419126,-69.93896988,61.11051694,72.92042015,-56.18837647,86.37533432,68.96925023,-71.31998237,34.80074367,81.81993817,-53.24231462,61.71407564,11.86421864,-68.3759205,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,58.81573698,72.63538671,-58.57484012,77.42118015,43.31482815,-71.66079458,85.14996283,68.73423275,-72.91287483,34.26479665,81.78611157,-54.03319247,59.51995712,11.55239551,-70.9101773,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,87.32990257,69.68456727,-69.6686844,60.53743672,73.4173163,-55.82826283,78.66829855,44.17578143,-69.77060973,35.77986749,82.63918197,-51.52002313,61.22175662,12.52409103,-69.13069573,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,61.17782861,11.76120091,-69.20617887,59.08792933,72.93494366,-57.90143728,85.90208293,69.09205074,-71.69882478,34.13225534,82.04029063,-54.01740316,76.91316814,43.5521949,-72.00990845,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,61.10026304,11.08252064,-69.33177426,58.43381618,72.39737666,-59.17360846,85.46821956,68.42589722,-72.69968995,33.48594426,81.41695589,-55.37258759,76.51157578,42.94609442,-72.71221433,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.95267634,71.85315703,-60.18309248,60.5463561,10.3280641,-69.87130404,32.98991404,80.83059904,-56.45907568,85.4115311,67.84951355,-73.23623135,76.34726695,42.32926855,-73.202235,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,60.66732925,9.976224699,-69.80086385,57.76547971,71.51107681,-60.72916329,32.78543032,80.4750341,-57.08180776,85.0267692,67.46792107,-73.91573051,76.00789225,41.91004469,-73.74338828,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.50862921,71.69497099,-60.85205509,60.40722268,10.14973154,-70.08691087,32.52558022,80.66146333,-57.13424533,84.9384988,67.75652988,-73.85777323,75.90575816,42.27501062,-73.75931223,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.18009565,71.83849804,-61.0882968,60.11989275,10.28843691,-70.45083816,32.42886715,80.81758189,-57.16210506,84.86518059,67.9223482,-73.87238382,75.60948874,42.3804421,-74.04417895,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.40809161,71.92003079,-60.84939404,60.03474935,10.32987708,-70.47154435,32.45991637,80.84180162,-57.11269043,84.85836663,67.94947334,-73.86375616,75.58232718,42.40626342,-74.00574028,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.18829948,71.96997425,-61.05515762,60.05113763,10.39897666,-70.53889007,32.44255033,80.99136476,-57.09694245,84.65294823,68.04691607,-74.0550159,75.76461155,42.52841984,-73.75359572,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.21066961,71.67470959,-61.48325246,60.04793553,9.981434515,-70.62813274,32.2620045,80.627505,-57.78066019,84.65893866,67.66187156,-74.40586008,75.52314075,42.08290981,-74.15026428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.07845845,71.78457484,-61.54455911,59.83069842,10.02829558,-70.80954405,31.93669077,80.61124387,-57.97736733,84.24608824,67.75647906,-74.6984331,75.69845207,42.36143253,-73.71829118,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.20766971,71.68824123,-61.58488693,59.87284497,9.883405594,-70.7097817,31.83857793,80.56132022,-58.18647462,83.89279282,67.5247059,-75.13906662,74.91668871,42.0367912,-74.54403709,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,56.93042001,71.69736537,-61.85832847,31.78151587,80.59827356,-58.21305473,60.01057173,9.976624784,-70.54312271,74.61217026,42.06870744,-74.85317495,83.77959204,67.58090279,-75.23441665,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.07060111,71.64605098,-61.79976287,32.13548139,80.6492689,-57.88398733,59.85759799,9.872771056,-70.69456744,83.64165936,67.54115949,-75.30493789,75.68578598,42.10018787,-73.63997395,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.04544441,71.73630202,-61.77754879,32.12193629,80.70827282,-57.75171104,59.71583781,9.94664459,-70.84087792,83.77764796,67.64831802,-75.11401415,75.79859441,42.2182927,-73.49537192,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.03113467,71.82479559,-61.73848206,32.08192435,80.80950385,-57.65975302,59.6760315,10.03892622,-70.88380528,84.1789329,67.83986322,-74.55693449,75.98574782,42.32944429,-73.25760178,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.23285534,71.7384164,-61.70888121,59.60895162,9.89941425,-70.98623963,32.69826355,80.86324383,-57.1496646,76.13643639,42.21771688,-73.15672689,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.43542178,71.89983454,-61.38858947,32.89032176,81.04868947,-56.75875724,59.5532196,10.05895365,-71.1183494,76.31729216,42.42260284,-72.91886494,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.53815422,72.00017602,-61.26064226,33.39494407,81.24017353,-56.18076343,76.62160297,42.61938437,-72.58598296,59.63187304,10.24340746,-71.1018486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,57.8973476,72.33007576,-60.73827562,34.12840433,81.69097239,-55.10422037,60.15983863,10.70578658,-70.66667682,77.18743021,43.02227872,-71.93909576,86.03599715,68.374831,-72.27249882,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,34.65255325,81.69071022,-54.56279013,57.79677214,72.32630547,-60.90068797,60.57872348,10.78818428,-70.30285366,77.76467921,43.1209815,-71.34811862,86.15350135,68.46565378,-72.12539516,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,34.84413369,81.6732464,-54.35613583,57.58717272,72.19810534,-61.19336122,77.53484989,42.99018496,-71.63170754,60.31160757,10.69376678,-70.48963583,85.91121209,68.32592392,-72.40582991,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,34.48807494,81.54347063,-54.85026773,57.22110468,72.06044747,-61.70535571,77.53319079,42.93070795,-71.64872904,60.31714739,10.80331117,-70.38678031,85.46562787,68.21892664,-72.9281605,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,34.37049088,81.52161981,-55.06289081,56.85609653,72.01244411,-62.06565977,77.33600179,42.90325523,-71.83970779,61.44601292,10.93443009,-68.97507635,85.46938968,68.17833344,-72.91947471,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,33.974681,81.54554537,-55.31842562,56.42704201,71.96884329,-62.41910836,77.0679424,42.86621613,-72.10377305,60.90092718,10.90144353,-69.45062798,84.97443664,68.14458742,-73.38881167,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,34.57277399,81.96495865,-54.30264453,56.57327432,72.17399196,-61.97565998,76.87918125,42.88145022,-72.2171034,85.41996251,68.04437474,-72.83592116,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,35.44305277,82.53526603,-53.04800867,57.22592284,72.58392291,-60.97675377,77.57600359,43.40952618,-71.33322383,86.43607134,68.55654387,-71.40912861,60.91177457,11.71322705,-69.36165261,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,35.6996081,82.71385241,-52.63676109,57.44648261,72.79726928,-60.60943265,77.54655714,43.57612752,-71.28277902,86.43657021,68.73055201,-71.26375375,61.04624809,11.91835449,-69.21496322,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,36.00123404,82.78703437,-52.32639458,57.52810133,72.78020206,-60.56541647,77.77898288,43.56571698,-71.04387252,86.7272564,68.70811768,-70.96006961,61.00028001,11.97750148,-69.29747819,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,36.01187236,82.31227144,-52.80612406,56.76420869,72.41523354,-61.78952202,77.44576352,43.21483895,-71.59470229,86.1463338,68.56565873,-71.88910993,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,35.9166958,81.67624957,-53.67114566,56.05168255,71.77420392,-63.21997891,77.04253956,42.38866023,-72.45888885,85.87863215,67.90581297,-72.84215574,61.12545555,10.57613262,-69.49651841,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,56.10767347,71.54922235,-63.44216143,35.51954282,81.38134108,-54.39221328,76.71677304,42.09620818,-72.97164552,85.74670212,67.5559059,-73.24248119,61.06903176,10.26215915,-69.59285377,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,56.36517565,71.50349089,-63.24900366,35.33878335,81.2583069,-54.67745845,76.56853698,41.99888826,-73.16788527,85.81705809,67.52116353,-73.28096991,60.7120804,10.1448418,-69.98555294,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,56.057929,71.39602311,-63.69276324,76.52391355,41.8057892,-73.33799081,85.51625783,67.36504009,-73.7406299,35.22690639,81.11002365,-54.99291263,60.73668746,9.990386676,-69.98249573,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,56.09971901,71.23982993,-63.74035216,76.37779408,41.77457959,-73.53902215,35.16610976,81.10957646,-55.18704657,85.56186487,67.25478595,-73.73834461,60.83873263,9.973687029,-69.87200474,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,55.84571957,66.52280289,-68.4108391,77.1065437,36.73428364,-75.07233122,85.47031038,62.47383742,-77.60507496,34.2457979,76.22528732,-61.5592919,62.4769143,5.036228193,-68.60892678,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,85.17176795,63.39169011,-77.31860563,55.91075262,67.61353044,-67.42104178,76.41434269,37.77218921,-75.35999391,34.54308618,77.45068032,-60.0466516,61.18889801,6.073536854,-69.70768628,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
1,0,76.21304055,39.085632,-75.08297854,85.08767372,64.5427017,-76.58139471,55.92304464,68.96648612,-66.40436088,34.95919628,78.80124566,-58.44282365,60.55530039,7.480017758,-70.25027413,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
